source,target,position
Davis / Dwight F.,Brookings Institution,Chairman
Rowe / Leo S.,Brookings Institution,Vice-Chairman
Bass / Robert Perkins,Brookings Institution,
Dodge / Clarence Phelps,Brookings Institution,
Field / Marshall,Brookings Institution,
Greene / Jerome D.,Brookings Institution,
Houghton / Alanson B.,Brookings Institution,
Merriam / John C.,Brookings Institution,
Morris / Roland S.,Brookings Institution,
Moulton / Harold G.,Brookings Institution,
Rosenthal / Lessing,Brookings Institution,
Stokes / Anson Phelps,Brookings Institution,
Wallace / Harry Brookings,Brookings Institution,
Winant / John G.,Brookings Institution,
Davis / Francis B. Jr.,Business Advisory Council,Executive Committee
Draper / Ernest G.,Business Advisory Council,Executive Committee
Francis / James D.,Business Advisory Council,Executive Committee
Harriman / Henry I.,Business Advisory Council,Executive Committee
Kountze / DeLancey,Business Advisory Council,Executive Committee
Leeds / Morris E.,Business Advisory Council,Executive Committee
McInnerney / Thomas H.,Business Advisory Council,Executive Committee
Swope / Gerard,Business Advisory Council,Executive Committee
Vereen / W. J.,Business Advisory Council,Executive Committee
Weinberg / Sidney J.,Business Advisory Council,Executive Committee
Wood / Robert E.,Business Advisory Council,Executive Committee
Kendall / H. P.,Business Advisory Council,Executive Committee; Chairman of the Executive Committee
Harriman / William Averell,Business Advisory Council,Executive Committee; Vice-Chairman of the Executive Committee
Stannard / Earl T.,Business Advisory Council,Executive Committee; Vice-Chairman of the Executive Committee
Adams / Frederick B.,Business Advisory Council,Member
Aldrich / Winthrop W.,Business Advisory Council,Member
Brownlee / James F.,Business Advisory Council,Member
Cannon / Charles A.,Business Advisory Council,Member
Clayton / William L.,Business Advisory Council,Member
Coker / David R.,Business Advisory Council,Member
Compton / Karl T.,Business Advisory Council,Member
Davis / William N.,Business Advisory Council,Member
Dennison / Henry S.,Business Advisory Council,Member
Deupree / Richard R.,Business Advisory Council,Member
Dickerman / William C.,Business Advisory Council,Member
Dines / Thomas A.,Business Advisory Council,Member
Dryer / Joseph H.,Business Advisory Council,Member
du Pont / Pierre S.,Business Advisory Council,Member
Dunn / Gano,Business Advisory Council,Member
Eastman / Lucius R.,Business Advisory Council,Member
Elbert / Robert G.,Business Advisory Council,Member
Fahey / John H.,Business Advisory Council,Member
Fay / Philip J.,Business Advisory Council,Member
Filene / Lincoln,Business Advisory Council,Member
Finch / T. Austin,Business Advisory Council,Member
Flanders / Ralph E.,Business Advisory Council,Member
Fogarty / James F.,Business Advisory Council,Member
Folsom / Marion B.,Business Advisory Council,Member
Francis / Clarence,Business Advisory Council,Member
Gifford / Walter S.,Business Advisory Council,Member
Greensfelder / A. P.,Business Advisory Council,Member
Hahn / Lew,Business Advisory Council,Member
Hamilton / Rolland J.,Business Advisory Council,Member
Hammond / Thomas S.,Business Advisory Council,Member
Heimann / Henry H.,Business Advisory Council,Member
Hodges / Wetmore,Business Advisory Council,Member
Hook / Charles R.,Business Advisory Council,Member
Jones / Frank C.,Business Advisory Council,Member
