Id,node_type,org_cat,corp_cat,corp_sub,rank
Brookings Institution,org,Policy-Planning Group,,,
Business Advisory Council,org,Policy-Planning Group,,,
Council on Foreign Relations,org,Policy-Planning Group,,,
National Association of Manufacturers,org,Policy-Planning Group,,,
Carnegie Corporation of New York,org,Policy-Planning Group,,,Foundations-001
Rockefeller Foundation,org,Policy-Planning Group,,,Foundations-002
General Education Board,org,Foundation,,,Foundations-003
Commonwealth Fund,org,Foundation,,,Foundations-004
W. K. Kellogg Foundation,org,Foundation,,,Foundations-005
Carnegie Institution of Washington,org,Foundation,,,Foundations-006
Carnegie Foundation for the Advancement of Teaching,org,Foundation,,,Foundations-007
Russell Sage Foundation,org,Foundation,,,Foundations-008
Buhl Foundation,org,Foundation,,,Foundations-009
Carnegie Endowment for International Peace,org,Foundation,,,Foundations-010
Milbank Memorial Fund,org,Foundation,,,Foundations-011
Children's Fund of Michigan,org,Foundation,,,Foundations-012
Maurice and Laura Falk Foundation,org,Foundation,,,Foundations-013
New York Foundation,org,Foundation,,,Foundations-014
New York Community Trust,org,Foundation,,,Foundations-015
Spelman Fund of New York,org,Foundation,,,Foundations-016
Cleveland Foundation,org,Foundation,,,Foundations-017
Carnegie Hero Fund Commission,org,Foundation,,,Foundations-018
John Simon Guggenheim Memorial Foundation,org,Foundation,,,Foundations-019
Committee of the Permanent Charity Fund,org,Foundation,,,Foundations-020
Metropolitan Life Insurance Company,org,Corporation,financial,insurance,F-001
Prudential Insurance Company,org,Corporation,financial,insurance,F-002
Chase National Bank,org,Corporation,financial,bank,F-003
New York Life Insurance Company,org,Corporation,financial,insurance,F-004
National City Bank of New York,org,Corporation,financial,bank,F-005
Guaranty Trust Company of New York,org,Corporation,financial,bank,F-006
Equitable Life Assurance Society of the United States,org,Corporation,financial,insurance,F-007
Bank of America National Trust & Savings Association,org,Corporation,financial,bank,F-008
Mutual Life Insurance Company of New York,org,Corporation,financial,insurance,F-009
Continental Illinois National Bank & Trust Company,org,Corporation,financial,bank,F-010
Northwestern Mutual Life Insurance Company,org,Corporation,financial,insurance,F-011
Bankers Trust Company,org,Corporation,financial,bank,F-012
