Id,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,
National Association of Manufacturers,org,Policy-Planning Group,,,,,
Business Roundtable,org,Policy-Planning Group,,,,,
Brookings Institution,org,Policy-Planning Group,,,,,
Council on Foreign Relations,org,Policy-Planning Group,,,,,
Rockefeller Foundation,org,Policy-Planning Group,,,"3,593",,
Carnegie Corporation of New York,org,Policy-Planning Group,,,"2,535",,
Wal-Mart Stores,org,Corporation,non-financial,retail,"408,214",1,
Exxon Mobil,org,Corporation,non-financial,energy,"284,650",2,
Chevron,org,Corporation,non-financial,energy,"163,527",3,
General Electric,org,Corporation,non-financial,industrial,"156,779",4,
Bank of America Corp.,org,Corporation,financial,bank,"150,450",5,
ConocoPhillips,org,Corporation,non-financial,energy,"139,515",6,
AT&T,org,Corporation,non-financial,media/communications,"123,018",7,
Ford Motor,org,Corporation,non-financial,industrial,"118,308",8,
J.P. Morgan Chase & Co.,org,Corporation,financial,bank,"115,632",9,
Hewlett-Packard,org,Corporation,non-financial,technology,"114,552",10,
Berkshire Hathaway,org,Corporation,non-financial,holding,"112,493",11,
Citigroup,org,Corporation,financial,bank,"108,785",12,
Verizon Communications,org,Corporation,non-financial,media/communications,"107,808",13,
McKesson,org,Corporation,non-financial,pharmaceutical,"106,632",14,
General Motors,org,Corporation,non-financial,industrial,"104,589",15,
American International Group,org,Corporation,financial,insurance,"103,189",16,
Cardinal Health,org,Corporation,non-financial,healthcare,"99,613",17,
CVS Caremark,org,Corporation,non-financial,healthcare,"98,729",18,
Wells Fargo,org,Corporation,financial,bank,"98,636",19,
IBM,org,Corporation,non-financial,technology,"95,758",20,
UnitedHealth Group,org,Corporation,non-financial,healthcare,"87,138",21,
Procter & Gamble,org,Corporation,non-financial,consumer products,"79,697",22,
Kroger,org,Corporation,non-financial,retail,"76,733",23,
AmerisourceBergen,org,Corporation,non-financial,pharmaceutical,"71,789",24,
Costco Wholesale,org,Corporation,non-financial,retail,"71,422",25,
Valero Energy,org,Corporation,non-financial,energy,"70,035",26,
Archer Daniels Midland,org,Corporation,non-financial,food/agriculture,"69,207",27,
Boeing,org,Corporation,non-financial,industrial,"68,281",28,
Home Depot,org,Corporation,non-financial,retail,"66,176",29,
Target,org,Corporation,non-financial,retail,"65,357",30,
Wellpoint,org,Corporation,non-financial,healthcare,"65,028",31,
Walgreen,org,Corporation,non-financial,retail,"63,335",32,
Johnson & Johnson,org,Corporation,non-financial,consumer products,"61,897",33,
State Farm,org,Corporation,financial,insurance,"61,480",34,
Medco Health Solutions,org,Corporation,non-financial,healthcare,"59,804",35,
Microsoft,org,Corporation,non-financial,technology,"58,437",36,
United Technologies,org,Corporation,non-financial,industrial,"52,920",37,
Dell,org,Corporation,non-financial,technology,"52,902",38,
Goldman Sachs Group,org,Corporation,financial,bank,"51,673",39,
Pfizer,org,Corporation,non-financial,industrial,"50,009",40,
Marathon Oil,org,Corporation,non-financial,energy,"49,403",41,
Lowe's,org,Corporation,non-financial,retail,"47,220",42,
United Parcel Service,org,Corporation,non-financial,transportation,"45,297",43,
Lockheed Martin,org,Corporation,non-financial,industrial,"45,189",44,
Best Buy,org,Corporation,non-financial,retail,"45,015",45,
Dow Chemical,org,Corporation,non-financial,industrial,"44,945",46,
