node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,,,,,,,False,False,False,3,13,2.9,0.32903225806451614,0.08235769075494549,0.014651934673823294,0.006285592315004079,11.994252873563218,12.76923076923077,0.07007711251872173,0.039799588249669685,0.32051282051282054,25,6,24,7,4.333333333333333,57.0,183.0,35.0,180.0,33.0,199.0,54.0,145.0,13,3.19,12.76923076923077,102,25.0,11.754901960784315,293,71.81,10.320819112627987
person,,,,,,,True,False,False,2,11,3.1166666666666667,0.3116883116883117,0.0856632956573468,0.005976817141022854,0.010388085755732811,12.689839572192515,13.363636363636363,0.04641092032669564,0.05604989496461177,0.4727272727272727,26,6,24,7,5.5,103.0,142.0,88.0,103.0,146.0,71.0,93.0,88.0,11,2.7,13.363636363636363,83,20.34,10.91566265060241,257,62.99,10.295719844357977
person,,,,,,,True,False,False,2,4,1.3333333333333333,0.23314285714285715,0.0704866109991362,0.0,0.0,6.75,6.75,0.002019678623191353,0.003755805008248227,1.0,6,7,6,4,2.0,370.0,372.0,378.0,370.0,384.0,383.0,383.0,380.0,4,0.98,6.75,15,3.68,8.333333333333334,71,17.4,10.647887323943662
person,,,,,,,False,False,False,2,11,3.1500000000000004,0.31432973805855163,0.08437015336894708,0.005943354705704453,0.0102114432996786,12.433862433862434,13.454545454545455,0.0588513831324619,0.045628794758310914,0.4909090909090909,27,6,24,7,5.5,103.0,136.0,79.0,134.0,148.0,76.0,65.0,117.0,11,2.7,13.454545454545455,74,18.14,11.594594594594595,264,64.71,10.511363636363637
person,,,,,,,False,False,False,2,13,4.25,0.3116883116883117,0.09238084456017208,0.00959046879636815,0.01620533035974213,10.686274509803921,10.846153846153847,0.026550260804498783,0.04753858506667476,0.46153846153846156,36,5,24,7,6.5,57.0,28.0,88.0,14.0,67.0,14.0,195.0,110.0,13,3.19,10.846153846153847,68,16.67,10.720588235294118,264,64.71,10.515151515151516
person,,,,,,,False,False,False,2,10,3.0833333333333335,0.30932524639878695,0.08599733014824702,0.004376100089984145,0.006918971808677691,11.27027027027027,12.2,0.04744371504565744,0.04158784487787235,0.4444444444444444,20,6,24,7,5.0,140.0,147.0,98.0,95.0,210.0,173.0,87.0,135.0,10,2.45,12.2,72,17.65,12.11111111111111,254,62.25,10.543307086614174
person,,,,,,,False,False,False,2,2,0.6666666666666666,0.21541710665258712,0.06221408966148216,0.0,0.0,4.5,4.5,0.00230447274568259,0.0028760684866508826,1.0,1,8,2,2,1.0,398.0,398.0,400.0,404.0,384.0,383.0,379.0,393.0,2,0.49,4.5,7,1.72,8.571428571428571,34,8.33,12.588235294117647
person,,,,,,,False,False,False,2,13,4.0,0.3065364387678437,0.09044557747727777,0.005645428474080733,0.010093727807631552,12.270833333333332,12.538461538461538,0.06476184932538528,0.09048605997763855,0.47435897435897434,37,6,25,7,6.5,57.0,46.0,114.0,34.0,163.0,79.0,60.0,29.0,13,3.19,12.538461538461538,72,17.65,12.027777777777779,243,59.56,10.695473251028806
person,,,,,,,False,False,False,2,4,1.3333333333333333,0.24213649851632046,0.07096474953617811,0.0029925228143093457,0.003106128473775532,5.5,5.5,0.0035112740890242446,0.0046246823859935025,0.5,3,8,6,4,2.0,370.0,372.0,372.0,367.0,279.0,316.0,373.0,373.0,4,0.98,5.5,16,3.92,10.0625,88,21.57,10.818181818181818
person,,,,,,,False,False,False,2,14,4.116666666666667,0.33251833740831294,0.09717756341550554,0.014248995060291899,0.021009687988297613,14.651821862348175,15.142857142857142,0.11119332769520882,0.13269709727907078,0.4725274725274725,43,6,29,8,7.0,44.0,34.0,27.0,2.0,36.0,4.0,19.0,9.0,14,3.43,15.142857142857142,101,24.75,12.376237623762377,303,74.26,10.336633663366337
