node,node_type,org_cat,corp_cat,corp_sub,rank,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Aetna Life Insurance Company,org,Corporation,financial,insurance,F-028,10,3,0.2008187134502924,0.3013888888888889,0.012141753978542641,0.001058856138756539,0.0014507595152756445,6.459522422830518,9.333333333333334,0.00705804910284059,0.0012648172401026518,0.3333333333333333,1,5,3,2,0.3,171.0,156.0,182.0,180.0,148.0,138.0,179.0,192.0,3,1.38,9.333333333333334,26,11.98,15.115384615384615,129,59.45,13.48062015503876
Alleghany Corporation,org,Corporation,non-financial,industrial,NF-006,8,4,0.4229214340198322,0.3126801152737752,0.015518175795357593,0.001149058588675275,0.010795357569551118,8.185950040580755,9.25,0.006589119534396545,0.003943459519891623,0.5,3,5,6,4,0.5,158.0,96.0,175.0,100.0,147.0,64.0,182.0,158.0,4,1.84,9.25,29,13.36,13.689655172413794,146,67.28,12.493150684931507
Allied Chemical & Dye Corporation,org,Corporation,non-financial,industrial,NF-078,11,1,0.04,0.23308270676691728,0.009840193487096166,0.0,0.0,5.0,5.0,0.0006448584150230555,0.00029327787115884964,0.0,0,7,1,1,0.09090909090909091,197.0,205.0,217.0,210.0,186.0,171.0,216.0,209.0,1,0.46,5.0,5,2.3,9.4,28,12.9,13.5
Allis-Chalmers Manufacturing Company,org,Corporation,non-financial,industrial,NF-184,15,5,0.21746583326048313,0.3328220858895706,0.012354625745933916,0.0024978159413495318,0.006101723843659328,9.857737235813756,11.4,0.010476968975243167,0.0014409691057892338,0.2,2,5,10,4,0.3333333333333333,145.0,148.0,147.0,174.0,130.0,101.0,172.0,187.0,5,2.3,11.4,48,22.12,13.6875,170,78.34,11.9
Aluminum Company of America,org,Corporation,non-financial,industrial,NF-084,9,11,0.6786795587453481,0.3703071672354949,0.016833434148008246,0.0035238879539259953,0.0071257893838539005,14.840608515473415,16.363636363636363,0.04807792569020362,0.03283884672747119,0.5454545454545454,30,5,22,8,1.2222222222222223,76.0,49.0,89.0,62.0,113.0,92.0,84.0,50.0,11,5.07,16.363636363636363,83,38.25,14.566265060240964,191,88.02,11.036649214659686
American Can Company,org,Corporation,non-financial,industrial,NF-088,15,11,0.5650956149058616,0.3974358974358974,0.01720900978708146,0.0028727614136927647,0.007509813961426865,18.67205648553532,20.181818181818183,0.07292407807783068,0.02742999167537149,0.36363636363636365,20,5,30,8,0.7333333333333333,76.0,68.0,47.0,46.0,123.0,90.0,54.0,57.0,11,5.07,20.181818181818183,114,52.53,14.140350877192983,199,91.71,10.78894472361809
American Car & Foundry Company,org,Corporation,non-financial,industrial,NF-165,9,4,0.18223909435656505,0.32829046898638425,0.015519967441104083,0.0006036888803479049,0.00038402457757296467,14.94472184949737,15.25,0.015102955649280714,0.008205233909749376,0.5,3,6,6,4,0.4444444444444444,158.0,163.0,153.0,99.0,163.0,164.0,153.0,129.0,4,1.84,15.25,47,21.66,14.97872340425532,164,75.58,12.262195121951219
American Gas & Electric Company,org,Corporation,non-financial,utility,NF-052,11,7,0.6749717673630717,0.34554140127388533,0.016480009173861915,0.0031186939386860244,0.008057404562780908,12.79842448325142,13.428571428571429,0.02513872064286374,0.2847428397142416,0.3333333333333333,7,5,12,6,0.6363636363636364,118.0,50.0,133.0,79.0,121.0,83.0,124.0,4.0,7,3.23,13.428571428571429,57,26.27,14.228070175438596,179,82.49,11.575418994413408
American Power & Light Company,org,Corporation,non-financial,utility,NF-020,10,8,1.066565561631351,0.3522727272727273,0.01708082857164957,0.010500067668083554,0.010126870341924107,12.735421937689008,13.75,0.030881444526817292,0.43894997965686205,0.42857142857142855,12,5,13,6,0.8,108.0,18.0,120.0,53.0,59.0,67.0,116.0,3.0,8,3.69,13.75,62,28.57,14.5,184,84.79,11.266304347826088
American Radiator & Standard Sanitary Corporation,org,Corporation,non-financial,industrial,NF-117,10,13,0.5338470343273174,0.3938294010889292,0.01724339197234398,0.003275005763607951,0.002560163850486431,20.33119153303587,20.53846153846154,0.0963834164232958,0.03202823704853355,0.48717948717948717,38,4,34,8,1.3,59.0,78.0,57.0,45.0,117.0,128.0,36.0,52.0,13,5.99,20.53846153846154,103,47.47,14.184466019417476,201,92.63,10.701492537313433
