node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
org,Corporation,non-financial,industrial,"23,123",106.0,,10,13,0.6926900140286868,0.3411214953271028,0.01662386296066698,0.034017504406416293,0.05837627246449667,9.751029131798367,9.461538461538462,0.236352756327865,0.2991155741720426,0.21794871794871795,17,7,19,4,1.3,3.0,1.0,10.0,2.0,17.0,5.0,2.0,1.0,13,5.94,9.461538461538462,71,32.42,7.47887323943662,165,75.34,5.9393939393939394
org,Corporation,non-financial,utility,"14,690",156.0,,11,6,0.25559947299077734,0.30165289256198347,0.013512818667023169,0.018267446551874393,0.01413849440743999,9.038015463917525,9.0,0.0627830757301714,0.05474100215500572,0.2,3,7,12,4,0.5454545454545454,70.0,91.0,61.0,75.0,64.0,78.0,62.0,58.0,6,2.74,9.0,44,20.09,6.909090909090909,134,61.19,6.231343283582089
org,Corporation,non-financial,transportation,"19,917",120.0,,12,11,0.4862123383862515,0.3220588235294118,0.01444940508918164,0.029839571693319338,0.028866965495091674,6.673993961086528,6.7272727272727275,0.08354048507839314,0.06341927984013192,0.10909090909090909,6,7,14,4,0.9166666666666666,10.0,14.0,24.0,31.0,24.0,25.0,42.0,48.0,11,5.02,6.7272727272727275,57,26.03,6.701754385964913,150,68.49,6.16
org,Corporation,non-financial,media/communications,"123,018",7.0,,13,9,0.37488592727723163,0.32111436950146627,0.014203869851907901,0.030436691471190762,0.023832963288788353,6.825797787059235,6.777777777777778,0.060014444175492135,0.041391917914375166,0.027777777777777776,1,6,15,4,0.6923076923076923,25.0,39.0,26.0,41.0,22.0,35.0,66.0,83.0,9,4.11,6.777777777777778,53,24.2,6.6415094339622645,150,68.49,6.193333333333333
org,Corporation,non-financial,industrial,"30,765",75.0,,14,10,0.5115595898354519,0.3459715639810427,0.016445762775504073,0.03653727331442384,0.05810746652144164,10.645545843912226,10.6,0.17180441320860057,0.20767902857753892,0.17777777777777778,8,7,18,4,0.7142857142857143,17.0,11.0,5.0,3.0,14.0,7.0,8.0,6.0,10,4.57,10.6,76,34.7,7.052631578947368,171,78.08,5.842105263157895
org,Corporation,financial,insurance,"34,764",63.0,,15,8,0.3104539024945757,0.31924198250728864,0.013892413093123572,0.01890617257771629,0.010200661890997444,7.479959328207529,7.625,0.0876253949272157,0.06540085714647792,0.14285714285714285,4,6,14,4,0.5333333333333333,40.0,64.0,31.0,58.0,63.0,99.0,38.0,44.0,8,3.65,7.625,49,22.37,7.448979591836735,148,67.58,6.20945945945946
org,Corporation,non-financial,mining/steel,"18,745",127.0,,12,9,0.37687710340633884,0.3101983002832861,0.013888154904717112,0.013867600787298038,0.011373633278873948,7.871797667940814,7.888888888888889,0.1259006233956207,0.10991812404013204,0.2222222222222222,8,6,16,4,0.75,25.0,38.0,48.0,59.0,79.0,92.0,16.0,20.0,9,4.11,7.888888888888889,46,21.0,7.891304347826087,135,61.64,6.481481481481482
org,Corporation,financial,insurance,"32,013",68.0,,13,13,0.528615971457051,0.34651898734177217,0.015379393485410644,0.0625855584513241,0.046391716587770374,8.109221221839299,8.153846153846153,0.1838720100939215,0.1589099075244269,0.15384615384615385,12,6,17,4,1.0,3.0,10.0,4.0,12.0,1.0,12.0,5.0,11.0,13,5.94,8.153846153846153,68,31.05,7.1911764705882355,171,78.08,5.87719298245614
org,Corporation,non-financial,food/agriculture,"16,824",137.0,,10,2,0.10025062656641603,0.23322683706070288,0.01095803589298819,0.00273162076820557,0.004964182480834485,5.05,5.0,0.00753589643144233,0.006695813938609326,0.0,0,6,3,2,0.2,169.0,175.0,188.0,177.0,153.0,137.0,186.0,182.0,2,0.91,5.0,10,4.57,6.5,41,18.72,6.585365853658536
org,Corporation,non-financial,utility,"13,489",172.0,,13,3,0.13474025974025974,0.2573443008225617,0.01173476222371065,0.0005206872847771107,0.00048175610573499223,6.220883534136545,6.333333333333333,0.02805027405127292,0.0243403965494523,0.3333333333333333,1,7,7,3,0.23076923076923078,132.0,154.0,146.0,144.0,186.0,187.0,122.0,124.0,3,1.37,6.333333333333333,16,7.31,7.875,69,31.51,7.550724637681159
org,Corporation,financial,bank,"26,730",88.0,,13,10,0.41567361784753093,0.3244444444444444,0.014373536940208712,0.026339681154506744,0.01710583273986567,8.318793926811432,8.4,0.11923778583971634,0.10142937482369166,0.17777777777777778,8,6,15,4,0.7692307692307693,17.0,28.0,21.0,33.0,32.0,58.0,20.0,27.0,10,4.57,8.4,58,26.48,6.931034482758621,147,67.12,6.272108843537415
org,Corporation,financial,insurance,"103,189",16.0,,12,5,0.20889632107023412,0.2859007832898172,0.012979444274326579,0.012875963556105248,0.010305391479200706,6.777137367915467,6.8,0.03437919800894529,0.02791007300564554,0.0,0,7,11,4,0.4166666666666667,87.0,111.0,98.0,96.0,85.0,97.0,110.0,113.0,5,2.28,6.8,32,14.61,6.90625,110,50.23,6.636363636363637
org,Corporation,financial,insurance,"7,946",288.0,,9,1,0.05,0.22577319587628866,0.010972860125260959,0.0,0.0,9.0,9.0,0.005053598599610419,0.00552449066208301,0.0,0,8,1,1,0.1111111111111111,197.0,200.0,195.0,175.0,192.0,190.0,195.0,190.0,1,0.46,9.0,9,4.11,5.777777777777778,38,17.35,6.7368421052631575
org,Corporation,non-financial,pharmaceutical,"71,789",24.0,,9,2,0.1,0.20259019426456984,0.009041118511586944,0.0002570352859406523,0.0006702693645008588,2.0,2.0,0.0016072472165546232,0.001163887464755392,0.0,0,9,3,2,0.2222222222222222,169.0,177.0,213.0,213.0,191.0,180.0,211.0,212.0,2,0.91,2.0,4,1.83,4.75,16,7.31,6.5625
org,Corporation,non-financial,industrial,"14,642",159.0,,15,7,0.3162924093508801,0.3,0.013868366614598724,0.020216228344964126,0.02167902475807465,8.29494690235968,8.142857142857142,0.09347273096172028,0.09646639576509526,0.23809523809523808,5,8,16,4,0.4666666666666667,55.0,60.0,63.0,61.0,54.0,43.0,33.0,30.0,7,3.2,8.142857142857142,41,18.72,7.7560975609756095,125,57.08,6.584
org,Corporation,financial,insurance,"7,595",298.0,,17,10,0.3959840542599163,0.3249258160237389,0.01400136390759526,0.024970720743969742,0.016589166771396255,9.035924377823223,8.9,0.14264616938368466,0.12426027194465039,0.2222222222222222,10,6,18,4,0.5882352941176471,17.0,34.0,18.0,52.0,40.0,61.0,11.0,16.0,10,4.57,8.9,59,26.94,7.254237288135593,151,68.95,6.125827814569536
org,Corporation,non-financial,technology,"36,537",56.0,,9,6,0.2838750862663906,0.2870249017038008,0.012870365835741223,0.008177429571350548,0.0102634996439194,7.36792395492725,7.666666666666667,0.058604947110881205,0.040869199904439185,0.2,3,7,15,4,0.6666666666666666,70.0,75.0,94.0,103.0,114.0,98.0,68.0,85.0,6,2.74,7.666666666666667,34,15.53,7.352941176470588,108,49.32,6.62037037037037
org,Corporation,non-financial,services,"12,298",189.0,,3,3,0.21726190476190474,0.256140350877193,0.012688786743404533,0.000997989830520461,0.0036026978341921157,5.493150684931507,5.666666666666667,0.014706341485349854,0.018005991799135028,0.3333333333333333,1,7,7,3,1.0,132.0,104.0,149.0,113.0,178.0,149.0,153.0,140.0,3,1.37,5.666666666666667,15,6.85,7.066666666666666,69,31.51,7.217391304347826
org,Corporation,non-financial,food/agriculture,"69,207",27.0,,10,5,0.2507177033492823,0.3,0.014714940031580007,0.008889291448299896,0.014724980101378241,9.380725190839696,9.4,0.07693385598979229,0.10572555769658822,0.2,2,6,12,4,0.5,87.0,92.0,63.0,22.0,110.0,75.0,47.0,25.0,5,2.28,9.4,37,16.89,7.945945945945946,127,57.99,6.456692913385827
