node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,False,False,False,3,26,5.001984126984127,0.4105445116681072,0.09121459433509364,0.0034579029093769163,0.008608421706356418,32.24974216580721,34.34615384615385,0.056971635676028455,0.039992657089827695,0.49230769230769234,160,4,51,15,8.666666666666666,102.0,198.0,75.0,68.0,154.0,82.0,81.0,128.0,26,5.47,34.34615384615385,253,53.26,24.25691699604743,464,97.68,20.038793103448278
person,person,,,,False,False,False,6,54,7.205999555999557,0.44144981412639406,0.07578376366102055,0.024623859785567352,0.0002630838700125843,29.580678801303467,30.666666666666668,0.11285787578808842,0.07473965747097197,0.3053808525506639,437,4,65,18,9.0,10.0,68.0,24.0,372.0,8.0,441.0,21.0,54.0,54,11.37,30.666666666666668,299,62.95,23.70903010033445,471,99.16,19.81528662420382
person,person,,,,True,False,False,2,15,4.074999999999999,0.3579502637528259,0.08148910619317204,0.0006207601619266939,0.0029940039973351093,21.940695296523526,24.6,0.013843566431220275,0.010725073172951604,0.8666666666666667,91,4,48,14,7.5,278.0,280.0,277.0,256.0,342.0,288.0,275.0,303.0,15,3.16,24.6,123,25.89,26.45528455284553,435,91.58,20.908045977011493
person,person,,,,True,False,False,2,11,4.583333333333333,0.2957658779576588,0.07854052415465593,0.00038387944124218716,0.0018399620711412844,12.49090909090909,12.636363636363637,0.0009466658514947015,0.002238725804861148,0.7272727272727273,40,5,25,9,5.5,354.0,232.0,458.0,323.0,382.0,352.0,465.0,425.0,11,2.32,12.636363636363637,45,9.47,16.0,247,52.0,22.97165991902834
person,person,,,,True,False,False,2,18,5.083333333333333,0.34773060029282576,0.08295856438021218,0.0004341827933275063,0.005866002751412478,23.363934426229505,24.61111111111111,0.01168698747837442,0.018212593662715132,0.738562091503268,113,5,52,15,9.0,206.0,194.0,318.0,223.0,376.0,141.0,309.0,242.0,18,3.79,24.61111111111111,117,24.63,24.82051282051282,402,84.63,21.569651741293534
person,person,,,,True,False,False,2,19,4.792857142857143,0.3968253968253968,0.09280062518315912,0.0018162787609785867,0.006801646055476835,25.719572776949825,29.157894736842106,0.03363876058519331,0.027610239868481823,0.49122807017543857,84,4,45,13,9.5,194.0,212.0,129.0,44.0,228.0,109.0,135.0,167.0,19,4.0,29.157894736842106,225,47.37,25.662222222222223,459,96.63,20.246187363834423
person,person,,,,True,True,True,3,47,10.15079365079365,0.4451733833177132,0.09506337558372249,0.012580073263928203,0.005807677036857584,33.37544956997655,35.93617021276596,0.12359516658819389,0.1202630645060293,0.40425531914893614,437,4,71,22,15.666666666666666,22.0,5.0,22.0,20.0,36.0,147.0,14.0,15.0,47,9.89,35.93617021276596,317,66.74,24.186119873817034,469,98.74,19.918976545842217
person,person,,,,True,False,False,3,26,4.991269841269842,0.4028837998303647,0.08633485807761049,0.0036267081635940786,0.004314312504185924,36.28939418031482,38.73076923076923,0.08390975300211312,0.06774030560654604,0.7323076923076923,238,4,70,22,8.666666666666666,102.0,200.0,103.0,164.0,146.0,206.0,47.0,81.0,26,5.47,38.73076923076923,240,50.53,25.475,455,95.79,20.3010989010989
person,person,,,,True,False,False,2,19,7.001190476190476,0.33783783783783783,0.07761649282387861,2.2630363087344287e-05,0.00022213720020399226,24.020574732188404,28.36842105263158,0.02846432960489461,0.07099830625551323,0.9181286549707602,157,5,62,18,9.5,194.0,78.0,357.0,343.0,442.0,442.0,174.0,70.0,19,4.0,28.36842105263158,93,19.58,28.365591397849464,384,80.84,21.783854166666668
person,person,,,,False,False,False,2,13,3.3761904761904766,0.37549407114624506,0.08659192416370431,0.0028515197598201316,0.009717558504367296,20.084626234132575,23.153846153846153,0.01210420783634368,0.009927862279262189,0.5384615384615384,42,5,26,9,6.5,310.0,339.0,207.0,158.0,169.0,62.0,303.0,311.0,13,2.74,23.153846153846153,182,38.32,24.13186813186813,441,92.84,20.65986394557823
