node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,ppg_bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,False,False,False,3,3,3.0,27,5.104761904761905,0.41318864774624375,0.08997818710615606,0.0033064347313051146,0.00797158606875206,33.40166355721392,35.592592592592595,0.058425544809441274,0.03896409355912384,0.4928774928774929,173,4,50,15,9.0,101.0,195.0,77.0,90.0,160.0,93.0,77.0,134.0,27,5.45,35.592592592592595,269,54.34,24.53531598513011,486,98.18,20.300411522633745
person,person,,,,False,False,False,6,6,6.0,55,7.223820623820625,0.44275491949910556,0.07505875811872931,0.023388809620190174,0.0002735860630597473,30.634152665820512,32.07272727272727,0.11263057301686204,0.07264258483131891,0.3063973063973064,455,4,64,18,9.166666666666666,11.0,65.0,25.0,406.0,8.0,459.0,19.0,58.0,55,11.11,32.07272727272727,316,63.84,23.981012658227847,491,99.19,20.118126272912424
person,person,,,,True,False,False,2,2,2.0,15,4.074999999999999,0.35714285714285715,0.0805336370292036,0.0005801477314344612,0.00286668497194813,22.002044989775058,24.666666666666668,0.012996615818511756,0.01056615220058716,0.8666666666666667,91,4,45,14,7.5,290.0,290.0,297.0,292.0,361.0,306.0,297.0,323.0,15,3.03,24.666666666666668,124,25.05,27.29032258064516,455,91.92,21.184615384615384
person,person,,,,True,False,False,2,2,2.0,12,4.916666666666666,0.29981829194427617,0.0807526033878028,0.00043289599245903854,0.002252402967652629,12.915254237288135,12.916666666666666,0.0009581787509835888,0.002599892386558969,0.6818181818181818,45,5,22,9,6.0,347.0,216.0,471.0,287.0,388.0,336.0,484.0,440.0,12,2.42,12.916666666666666,50,10.1,16.0,275,55.56,22.887272727272727
person,person,,,,True,False,False,2,2,2.0,18,5.083333333333333,0.34810126582278483,0.08335555212528593,0.0004181390406069159,0.0057538801797175,23.527868852459015,24.77777777777778,0.01062489207184596,0.020674221270327642,0.738562091503268,113,5,51,15,9.0,218.0,200.0,333.0,234.0,395.0,137.0,331.0,233.0,18,3.64,24.77777777777778,119,24.04,25.210084033613445,424,85.66,21.75943396226415
person,person,,,,True,False,False,2,2,2.0,19,4.742857142857142,0.396,0.09237372480716596,0.00157942597758186,0.006382386294666997,26.46511044176707,29.94736842105263,0.03225680476519584,0.024848360812364707,0.49122807017543857,84,4,41,13,9.5,204.0,224.0,136.0,49.0,250.0,122.0,150.0,195.0,19,3.84,29.94736842105263,234,47.27,26.072649572649574,477,96.36,20.58909853249476
person,person,,,,True,True,True,4,4,3.0,54,9.739682539682537,0.45454545454545453,0.0922847466053506,0.016899139994554235,0.005237939448465764,33.403194263363766,35.111111111111114,0.1267069190333221,0.09459343263218523,0.33962264150943394,486,4,69,22,13.5,13.0,6.0,13.0,50.0,20.0,160.0,13.0,28.0,54,10.91,35.111111111111114,346,69.9,23.930635838150287,491,99.19,20.14256619144603
person,person,,,,True,False,False,3,3,3.0,26,4.886507936507937,0.40474243663123466,0.08624945549586176,0.00337179937758038,0.004174535665763737,37.09338963781062,40.03846153846154,0.08018534757479535,0.05780931509661479,0.7323076923076923,238,4,68,22,8.666666666666666,110.0,219.0,106.0,169.0,157.0,221.0,53.0,102.0,26,5.25,40.03846153846154,257,51.92,25.750972762645915,474,95.76,20.628691983122362
person,person,,,,True,True,False,2,2,1.0,13,3.3250000000000006,0.3623718887262079,0.08506372619218103,0.0027151455735147205,0.008145756804438168,23.80701754385964,29.46153846153846,0.027595775740084604,0.021803062049538656,0.5384615384615384,42,4,26,10,6.5,332.0,363.0,275.0,192.0,176.0,85.0,180.0,226.0,13,2.63,29.46153846153846,147,29.7,29.12925170068027,454,91.72,21.162995594713657
person,person,,,,True,False,False,2,2,2.0,19,7.001190476190476,0.3374233128834356,0.07812089010468723,2.025816059363926e-05,0.0002072325178546269,24.26118007141643,28.68421052631579,0.026955362516802247,0.08363178936677543,0.9181286549707602,157,5,61,18,9.5,204.0,77.0,378.0,348.0,462.0,461.0,185.0,39.0,19,3.84,28.68421052631579,95,19.19,29.210526315789473,401,81.01,22.129675810473817
