node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Abizaid / John P.,person,,,,,,,False,True,False,2,1.0,14,3.991666666666667,0.3438485804416404,0.09524849808847624,0.002670498735521981,0.0066608668142992735,20.39039665970772,22.357142857142858,0.09698115441076618,0.11991360068436685,0.7362637362637363,67,6,39,12,7.0,81.0,80.0,55.0,20.0,277.0,172.0,27.0,25.0,14,3.21,22.357142857142858,126,28.9,15.34920634920635,348,79.82,11.755747126436782
Ackerman / F. Duane,person,,,,,,,False,False,False,3,3.0,13,2.9,0.3303030303030303,0.0817551096943559,0.01177207879328718,0.005367968411309126,12.189655172413794,13.0,0.012523791871807237,0.008402974420129624,0.32051282051282054,25,6,22,7,4.333333333333333,94.0,215.0,86.0,244.0,44.0,216.0,200.0,265.0,13,2.98,13.0,105,24.08,12.914285714285715,322,73.85,11.804347826086957
Akerson / Daniel F.,person,,,,,,,True,False,False,2,2.0,11,3.066666666666667,0.3194139194139194,0.08588876485652373,0.004756705333438785,0.009035031777834688,13.375000000000002,14.454545454545455,0.013515945810325537,0.011645520967709072,0.4727272727272727,26,6,22,7,5.5,139.0,180.0,132.0,150.0,165.0,90.0,191.0,224.0,11,2.52,14.454545454545455,93,21.33,12.817204301075268,296,67.89,11.983108108108109
Alexander / Barbara T.,person,,,,,,,True,False,False,2,2.0,4,1.3333333333333333,0.23969213853765806,0.07003078570472494,0.0,0.0,6.75,6.75,0.0011407342841186013,0.0018852775449528527,1.0,6,7,6,4,2.0,400.0,402.0,406.0,402.0,411.0,410.0,396.0,393.0,4,0.92,6.75,15,3.44,9.466666666666667,86,19.72,13.813953488372093
Allen / Samuel R.,person,,,,,,,False,False,False,2,2.0,11,3.1,0.32585949177877427,0.08308190681868709,0.0044925938968258024,0.007978876987893119,13.666666666666666,15.272727272727273,0.0252818594705862,0.019094384109163625,0.4909090909090909,27,6,22,7,5.5,139.0,178.0,104.0,214.0,192.0,112.0,109.0,150.0,11,2.52,15.272727272727273,93,21.33,15.10752688172043,316,72.48,11.895569620253164
Anderson / Reuben V.,person,,,,,,,False,False,False,2,2.0,13,4.25,0.31389488840892726,0.09311265349706353,0.007173307120855379,0.013701461139771803,10.92156862745098,11.076923076923077,0.006216502621826579,0.012778285025903736,0.46153846153846156,36,5,22,7,6.5,94.0,65.0,157.0,38.0,101.0,21.0,276.0,204.0,13,2.98,11.076923076923077,71,16.28,11.690140845070422,293,67.2,12.16382252559727
Anderson / Richard H.,person,,,,,,,False,False,False,2,2.0,10,3.041666666666667,0.32177121771217715,0.08453161857369049,0.002580828602567807,0.006086541143485148,12.123287671232875,14.8,0.026786334041470523,0.0169084146365028,0.4444444444444444,20,6,22,7,5.0,177.0,181.0,122.0,179.0,282.0,187.0,99.0,168.0,10,2.29,14.8,94,21.56,15.553191489361701,304,69.72,12.194078947368421
Armstrong / Greg L.,person,,,,,,,False,False,False,2,2.0,2,0.6666666666666666,0.21509620128268378,0.061857132723274456,0.0,0.0,4.5,4.5,0.00015534093698416025,0.0002279910664353188,1.0,1,8,2,2,1.0,426.0,426.0,431.0,433.0,411.0,410.0,429.0,432.0,2,0.46,4.5,7,1.61,8.571428571428571,34,7.8,12.852941176470589
Arnold / Susan E.,person,,,,,,,False,False,False,2,2.0,13,3.9166666666666674,0.3154848046309696,0.08899775464380486,0.004964292736432072,0.009789221815479327,13.34042553191489,13.846153846153847,0.023558818013151548,0.029345649640563576,0.47435897435897434,37,6,24,7,6.5,94.0,84.0,149.0,90.0,153.0,71.0,117.0,91.0,13,2.98,13.846153846153847,87,19.95,14.873563218390805,287,65.83,12.296167247386759
Atkins / Howard I.,person,,,,,,,False,False,False,2,2.0,5,1.6666666666666665,0.25363583478766727,0.07362584785117222,0.003466201686183865,0.004013861898233933,5.4,5.4,0.0014849411442380619,0.0024408539964549097,0.4,4,8,6,4,2.5,364.0,368.0,393.0,375.0,230.0,282.0,389.0,373.0,5,1.15,5.4,19,4.36,11.210526315789474,118,27.06,13.694915254237289
