node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Abizaid / John P.,person,,,,,,,False,True,False,2,1.0,14,4.041666666666667,0.34009360374414976,0.09532138172278093,0.0025650610918305974,0.006834498325324014,20.103092783505154,21.857142857142858,0.05875649897745084,0.06781541345214014,0.7362637362637363,67,6,39,12,7.0,88.0,79.0,78.0,30.0,275.0,149.0,53.0,46.0,14,3.21,21.857142857142858,119,27.29,15.798319327731093,343,78.67,12.370262390670554
Ackerman / F. Duane,person,,,,,,,False,False,False,3,3.0,13,2.9,0.3305534495830174,0.0815868263473054,0.011051385979159558,0.0054609463673051155,12.258620689655173,13.076923076923077,0.014173231189021113,0.010077200815830542,0.32051282051282054,25,6,23,7,4.333333333333333,99.0,217.0,104.0,254.0,53.0,212.0,183.0,229.0,13,2.98,13.076923076923077,106,24.31,13.735849056603774,322,73.85,12.347826086956522
Akerson / Daniel F.,person,,,,,,,True,False,True,2,2.0,11,2.9833333333333334,0.3236822568671121,0.08603848051307347,0.004280683480965342,0.007755470789274317,15.04469273743017,16.363636363636363,0.02905326538598799,0.029869789210364754,0.4727272727272727,26,6,23,7,5.5,142.0,200.0,129.0,150.0,189.0,117.0,95.0,99.0,11,2.52,16.363636363636363,98,22.48,14.63265306122449,308,70.64,12.5
Alexander / Barbara T.,person,,,,,,,True,False,False,2,2.0,4,1.3333333333333333,0.24008810572687225,0.07002516194657102,0.0,0.0,6.75,6.75,0.0006373810094146895,0.0009734451105409637,1.0,6,7,6,4,2.0,399.0,401.0,407.0,402.0,412.0,411.0,402.0,406.0,4,0.92,6.75,15,3.44,9.466666666666667,86,19.72,14.05813953488372
Allen / Samuel R.,person,,,,,,,False,False,True,2,2.0,11,3.1,0.3253731343283582,0.08264880576266902,0.004250973912553764,0.007922586921321497,13.473118279569892,15.0,0.016813341083699685,0.012742166149095225,0.4909090909090909,27,6,23,7,5.5,142.0,180.0,123.0,228.0,192.0,115.0,157.0,195.0,11,2.52,15.0,90,20.64,15.477777777777778,317,72.71,12.46056782334385
Anderson / Reuben V.,person,,,,,,,False,False,False,2,2.0,13,4.166666666666667,0.3236822568671121,0.09323211803699348,0.0060514380586688486,0.011776388562960193,11.959999999999999,12.384615384615385,0.016967165235089298,0.023287718174758963,0.46153846153846156,36,5,23,7,6.5,99.0,71.0,129.0,51.0,119.0,38.0,156.0,123.0,13,2.98,12.384615384615385,85,19.5,14.847058823529412,313,71.79,12.533546325878595
Anderson / Richard H.,person,,,,,,,False,False,False,2,2.0,10,3.041666666666667,0.32200886262924666,0.08434084534287649,0.0023556097869206543,0.005847963828033426,12.164383561643834,14.9,0.019496682119032337,0.012260759873041411,0.4444444444444444,20,6,23,7,5.0,181.0,185.0,139.0,189.0,295.0,191.0,137.0,197.0,10,2.29,14.9,95,21.79,16.2,304,69.72,12.789473684210526
Armstrong / Greg L.,person,,,,,,,False,False,False,2,2.0,2,0.6666666666666666,0.21520236920039487,0.06164286724162307,0.0,0.0,4.5,4.5,0.00012553076187514083,0.00018001734451019436,1.0,1,8,2,2,1.0,426.0,426.0,431.0,433.0,412.0,411.0,429.0,433.0,2,0.46,4.5,7,1.61,8.571428571428571,34,7.8,12.882352941176471
Arnold / Susan E.,person,,,,,,,False,False,False,2,2.0,13,3.9166666666666674,0.3164005805515239,0.08893421723610404,0.004902960688974643,0.009913483443220864,13.34042553191489,13.846153846153847,0.013723610002758594,0.015821441567062562,0.47435897435897434,37,6,25,7,6.5,99.0,89.0,160.0,100.0,150.0,58.0,193.0,170.0,13,2.98,13.846153846153847,87,19.95,15.045977011494253,291,66.74,12.927835051546392
Atkins / Howard I.,person,,,,,,,False,False,False,2,2.0,5,1.6666666666666665,0.25526932084309134,0.07177742413433573,0.003776730641951376,0.003759983118572173,5.2,5.2,0.0012219651017821838,0.001779386692618183,0.4,4,8,6,4,2.5,364.0,367.0,397.0,397.0,212.0,286.0,390.0,392.0,5,1.15,5.2,18,4.13,11.333333333333334,124,28.44,15.10483870967742
