node,node_type,org_cat,corp_cat,corp_sub,rank,bipartite_degree,ppg_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,corp_bipartite_degree,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Aetna Life Insurance Company,org,Corporation,financial,insurance,F-028,10,10,3,0.2008187134502924,0.3027027027027027,0.012160665031198541,0.00046261553494178975,0.0012011531069827032,6.736167734420501,9.666666666666666,0.006583653315251199,0.0014213603205196102,0.3333333333333333,1,5,3,2,10.0,0.3,180.0,162.0,188.0,186.0,174.0,145.0,186.0,199.0,3,1.34,9.666666666666666,27,12.05,15.703703703703704,136,60.71,13.852941176470589
Alleghany Corporation,org,Corporation,non-financial,industrial,NF-006,8,8,4,0.4229214340198322,0.3132867132867133,0.01549867071881346,0.0011064346835748394,0.010530108904548367,8.3915592028136,9.5,0.0062356735080013,0.004309261265043155,0.5,3,5,5,4,8.0,0.5,164.0,102.0,184.0,104.0,150.0,65.0,188.0,164.0,4,1.79,9.5,30,13.39,14.166666666666666,152,67.86,12.953947368421053
Allied Chemical & Dye Corporation,org,Corporation,non-financial,industrial,NF-078,11,11,1,0.04,0.23333333333333334,0.009832038105836122,0.0,0.0,5.0,5.0,0.0006060256728950539,0.00029774106345435193,0.0,0,7,1,1,11.0,0.09090909090909091,203.0,211.0,224.0,216.0,193.0,178.0,222.0,216.0,1,0.45,5.0,5,2.23,9.8,29,12.95,14.068965517241379
Allis-Chalmers Manufacturing Company,org,Corporation,non-financial,industrial,NF-184,15,15,6,0.25079916659381646,0.33990895295902884,0.01263542318326172,0.0048034126599355706,0.007447149263292761,9.772676440088652,11.0,0.010263118308647394,0.0017405599435754292,0.2,3,5,9,5,15.0,0.4,144.0,145.0,149.0,178.0,96.0,90.0,179.0,194.0,6,2.68,11.0,54,24.11,13.537037037037036,183,81.7,12.092896174863387
Aluminum Company of America,org,Corporation,non-financial,industrial,NF-084,9,9,11,0.6786795587453481,0.3714759535655058,0.01680923006829642,0.0032885746037045194,0.006886611146700832,15.162925575389579,16.90909090909091,0.044745103354809586,0.03546635522308108,0.5454545454545454,30,5,22,8,9.0,1.2222222222222223,84.0,52.0,96.0,67.0,124.0,96.0,89.0,52.0,11,4.91,16.90909090909091,87,38.84,15.091954022988507,198,88.39,11.464646464646465
American Can Company,org,Corporation,non-financial,industrial,NF-088,15,15,11,0.5650956149058616,0.3971631205673759,0.01712384555558124,0.002528093243462648,0.0070067264573991025,19.135225885766317,20.818181818181817,0.06883522896115261,0.029736451910373288,0.36363636363636365,20,5,34,8,15.0,0.7333333333333333,84.0,76.0,54.0,50.0,135.0,94.0,57.0,60.0,11,4.91,20.818181818181817,118,52.68,14.76271186440678,205,91.52,11.229268292682926
American Car & Foundry Company,org,Corporation,non-financial,industrial,NF-165,9,9,4,0.18223909435656505,0.3279648609077599,0.015488880126637407,0.00055736547827515,0.000360345932094811,14.94472184949737,15.25,0.01324298995595664,0.00869332302435353,0.5,3,6,5,4,9.0,0.4444444444444444,164.0,170.0,161.0,105.0,169.0,171.0,164.0,134.0,4,1.79,15.25,47,20.98,15.404255319148936,170,75.89,12.729411764705882
American Gas & Electric Company,org,Corporation,non-financial,utility,NF-052,11,11,7,0.6749717673630717,0.34514637904468415,0.016430155075464914,0.0026780038913937747,0.007520553064275038,12.862839415803968,13.571428571428571,0.02333209221431814,0.2772229623879277,0.3333333333333333,7,5,11,6,11.0,0.6363636363636364,128.0,53.0,143.0,81.0,134.0,88.0,132.0,4.0,7,3.12,13.571428571428571,58,25.89,14.844827586206897,186,83.04,11.983870967741936
American Power & Light Company,org,Corporation,non-financial,utility,NF-020,10,10,8,1.066565561631351,0.352755905511811,0.0170228265892972,0.010148966711403046,0.009782724749092461,12.820657289531834,14.125,0.029057867090716404,0.4275313099911038,0.42857142857142855,12,5,12,6,10.0,0.8,115.0,19.0,128.0,54.0,63.0,71.0,122.0,3.0,8,3.57,14.125,65,29.02,15.169230769230769,191,85.27,11.654450261780104
American Radiator & Standard Sanitary Corporation,org,Corporation,non-financial,industrial,NF-117,10,10,14,0.5632587990331996,0.39646017699115044,0.01729859174974116,0.0032629732501154537,0.0024423446508648303,21.137892074866286,21.285714285714285,0.09990357315397738,0.03690343487248949,0.4945054945054945,45,4,39,8,10.0,1.4,56.0,77.0,55.0,45.0,125.0,131.0,34.0,49.0,14,6.25,21.285714285714285,110,49.11,14.645454545454545,207,92.41,11.135265700483092
