node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
org,Corporation,non-financial,industrial,"23,123",106.0,,10,10.0,13,0.6926900140286868,0.3445121951219512,0.01665009024938299,0.025366370977224603,0.053549655850540806,10.500269615878711,10.23076923076923,0.13874331209575724,0.19606422781531405,0.21794871794871795,17,7,19,5,1.3,10.0,5.0,19.0,5.0,26.0,8.0,12.0,4.0,13,5.75,10.23076923076923,76,33.63,8.513157894736842,173,76.55,6.485549132947977
org,Corporation,non-financial,utility,"14,690",156.0,,11,11.0,6,0.25559947299077734,0.30581867388362655,0.013511359107214028,0.013234159418084547,0.012940019665683382,9.556701030927835,9.5,0.0459487238862761,0.037758899099100844,0.2,3,7,12,4,0.5454545454545454,78.0,95.0,80.0,80.0,80.0,84.0,74.0,77.0,6,2.65,9.5,47,20.8,8.425531914893616,143,63.27,6.909090909090909
org,Corporation,non-financial,transportation,"19,917",120.0,,12,12.0,12,0.5070456717195848,0.33681073025335323,0.014394140438405605,0.028977574696879504,0.026224188790560477,7.431689290503484,8.0,0.07764415926787092,0.05322135137175296,0.12121212121212122,8,7,17,5,1.0,15.0,16.0,25.0,36.0,20.0,30.0,37.0,43.0,12,5.31,8.0,68,30.09,8.073529411764707,170,75.22,6.594117647058823
org,Corporation,non-financial,media/communications,"123,018",7.0,,13,13.0,9,0.37488592727723163,0.32471264367816094,0.014302741358760428,0.02437569753887714,0.021615863651261877,7.26368632118085,7.222222222222222,0.03710017395694303,0.030020629417677643,0.027777777777777776,1,6,16,5,0.6923076923076923,35.0,45.0,42.0,42.0,30.0,39.0,88.0,91.0,9,3.98,7.222222222222222,56,24.78,7.303571428571429,159,70.35,6.773584905660377
org,Corporation,non-financial,industrial,"30,765",75.0,,14,14.0,10,0.5115595898354519,0.34662576687116564,0.01638433097315193,0.030553455465334396,0.05500819403474271,10.801930362137625,10.7,0.08328273081618584,0.12125536088992768,0.17777777777777778,8,7,18,5,0.7142857142857143,25.0,15.0,15.0,8.0,18.0,6.0,32.0,17.0,10,4.42,10.7,77,34.07,7.779220779220779,178,78.76,6.398876404494382
org,Corporation,financial,insurance,"34,764",63.0,,15,15.0,8,0.3104539024945757,0.31966053748231965,0.01393284287534421,0.016304487503787032,0.009419862340216323,7.723147044296537,7.875,0.042770253412188874,0.05297616229512752,0.14285714285714285,4,6,14,4,0.5333333333333333,49.0,68.0,51.0,59.0,64.0,103.0,79.0,45.0,8,3.54,7.875,50,22.12,7.92,153,67.7,6.8431372549019605
org,Corporation,non-financial,mining/steel,"18,745",127.0,,12,12.0,12,0.4543771034063388,0.3413897280966767,0.014353003440063508,0.01803918874718821,0.012946574893477546,10.488936268653378,11.833333333333334,0.1786354710554837,0.16308099705195866,0.25757575757575757,17,6,19,5,1.0,15.0,28.0,20.0,38.0,59.0,83.0,9.0,7.0,12,5.31,11.833333333333334,73,32.3,8.643835616438356,170,75.22,6.605882352941176
org,Corporation,financial,insurance,"32,013",68.0,,13,13.0,13,0.528615971457051,0.34822804314329736,0.015315976732365729,0.05637342634805072,0.044126515896427396,8.27371969792478,8.307692307692308,0.08901995871454299,0.09258946299349136,0.15384615384615385,12,6,17,5,1.0,10.0,13.0,14.0,19.0,2.0,12.0,28.0,27.0,13,5.75,8.307692307692308,70,30.97,8.142857142857142,179,79.2,6.402234636871508
org,Corporation,non-financial,food/agriculture,"16,824",137.0,,10,10.0,2,0.10025062656641603,0.23395445134575568,0.010966703599763842,0.0024401102653748854,0.004660766961651917,5.05,5.0,0.003682614818868581,0.005639135695027311,0.0,0,6,3,2,0.2,177.0,180.0,200.0,183.0,155.0,139.0,199.0,179.0,2,0.88,5.0,10,4.42,6.7,42,18.58,7.190476190476191
org,Corporation,non-financial,technology,"24,509",100.0,,7,7.0,1,0.05,0.26968973747016706,0.01298763492869252,0.0,0.0,16.0,16.0,0.01878455615290452,0.041384124234191084,0.0,0,7,1,1,0.14285714285714285,203.0,206.0,144.0,104.0,199.0,197.0,131.0,67.0,1,0.44,16.0,16,7.08,11.375,91,40.27,8.274725274725276
