node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
org,Corporation,non-financial,industrial,"23,123",106.0,,10,10.0,13,0.6926900140286868,0.3445635528330781,0.016655357473320587,0.025515610233129298,0.05242063492063492,10.555528838888293,10.307692307692308,0.13067894157801246,0.15892225776325272,0.21794871794871795,17,7,17,5,1.3,11.0,5.0,20.0,7.0,25.0,9.0,17.0,9.0,13,5.78,10.307692307692308,76,33.78,8.657894736842104,172,76.44,6.616279069767442
org,Corporation,non-financial,utility,"14,690",156.0,,11,11.0,6,0.25559947299077734,0.3065395095367847,0.013497840345544711,0.012669754458089166,0.012896825396825396,9.556701030927835,9.5,0.042883315014768705,0.030040067311126774,0.2,3,7,12,4,0.5454545454545454,78.0,95.0,80.0,83.0,80.0,80.0,77.0,85.0,6,2.67,9.5,47,20.89,8.680851063829786,143,63.56,7.06993006993007
org,Corporation,non-financial,transportation,"19,917",120.0,,12,12.0,12,0.5070456717195848,0.33682634730538924,0.0143906364925222,0.02530892502360464,0.02246362433862434,7.47277697647599,8.0,0.07265681506106804,0.04723062648945753,0.12121212121212122,8,7,15,5,1.0,16.0,17.0,29.0,39.0,26.0,35.0,39.0,52.0,12,5.33,8.0,68,30.22,8.264705882352942,169,75.11,6.727810650887574
org,Corporation,non-financial,media/communications,"123,018",7.0,,13,13.0,10,0.40821926061056496,0.3435114503816794,0.014740566037735848,0.02568650965318427,0.022457010582010585,8.721026082108692,9.0,0.06561787486502467,0.05971467783973785,0.06666666666666667,3,6,15,5,0.7692307692307693,26.0,40.0,22.0,30.0,24.0,36.0,46.0,37.0,10,4.44,9.0,72,32.0,8.291666666666666,175,77.78,6.645714285714286
org,Corporation,non-financial,industrial,"30,765",75.0,,14,14.0,10,0.5115595898354519,0.34775888717156106,0.016391949731354157,0.03023561197475783,0.05490410052910054,11.028129397427934,10.9,0.08334254357859903,0.10969042390719169,0.17777777777777778,8,7,16,5,0.7142857142857143,26.0,16.0,17.0,9.0,16.0,6.0,29.0,18.0,10,4.44,10.9,78,34.67,8.051282051282051,178,79.11,6.49438202247191
org,Corporation,financial,insurance,"34,764",63.0,,15,15.0,8,0.3104539024945757,0.3200568990042674,0.0140379336161717,0.015043174232029775,0.009424603174603174,7.863194441092669,8.0,0.04465700072475594,0.05739138700221249,0.14285714285714285,4,6,14,5,0.5333333333333333,50.0,68.0,55.0,59.0,66.0,97.0,72.0,39.0,8,3.56,8.0,50,22.22,8.16,153,68.0,6.980392156862745
org,Corporation,non-financial,mining/steel,"18,745",127.0,,12,12.0,11,0.4143771034063388,0.3373313343328336,0.014313584121464013,0.01564862818811988,0.012149470899470898,10.007227182220591,11.454545454545455,0.1475839788062094,0.11694488666342356,0.23636363636363636,13,6,17,5,0.9166666666666666,18.0,36.0,28.0,42.0,64.0,82.0,11.0,13.0,11,4.89,11.454545454545455,69,30.67,8.927536231884059,167,74.22,6.796407185628743
org,Corporation,financial,insurance,"32,013",68.0,,13,13.0,13,0.528615971457051,0.3499222395023328,0.015394000900834126,0.055617926519665656,0.043766534391534384,8.426033101707631,8.461538461538462,0.09000891129067393,0.08692207220361815,0.15384615384615385,12,6,15,5,1.0,11.0,14.0,15.0,19.0,3.0,12.0,27.0,25.0,13,5.78,8.461538461538462,71,31.56,8.464788732394366,180,80.0,6.488888888888889
org,Corporation,non-financial,food/agriculture,"16,824",137.0,,10,10.0,2,0.10025062656641603,0.234375,0.011071154721437444,0.0023608596121916666,0.004662698412698413,5.05,5.0,0.003928651349073986,0.00585049887113094,0.0,0,6,3,2,0.2,178.0,181.0,198.0,180.0,154.0,137.0,190.0,172.0,2,0.89,5.0,10,4.44,6.8,42,18.67,7.5
org,Corporation,non-financial,utility,"13,489",172.0,,13,13.0,3,0.13474025974025974,0.26785714285714285,0.01186724508498266,0.00036711376145899944,0.00035714285714285714,6.839357429718874,7.0,0.021348118695713725,0.01672950020640596,0.3333333333333333,1,7,7,3,0.23076923076923078,139.0,160.0,148.0,147.0,194.0,192.0,126.0,125.0,3,1.33,7.0,18,8.0,10.444444444444445,90,40.0,8.411111111111111
org,Corporation,financial,bank,"26,730",88.0,,13,13.0,11,0.48463913508891027,0.3456221198156682,0.01568044416309985,0.02287656056171488,0.020694444444444446,11.134819103217918,10.454545454545455,0.10912769618040706,0.18270327938258019,0.23636363636363636,13,6,17,5,0.8461538461538461,18.0,19.0,19.0,14.0,32.0,43.0,20.0,6.0,11,4.89,10.454545454545455,71,31.56,8.591549295774648,176,78.22,6.636363636363637
org,Corporation,financial,insurance,"103,189",16.0,,12,12.0,6,0.22556298773690078,0.31424581005586594,0.01315718942941655,0.015627786565465922,0.009186507936507937,8.975189047595512,11.0,0.05813153157737114,0.01873691736273164,0.13333333333333333,2,7,14,5,0.5,78.0,106.0,69.0,102.0,65.0,101.0,56.0,119.0,6,2.67,11.0,55,24.44,8.363636363636363,149,66.22,7.120805369127517
org,Corporation,financial,insurance,"7,946",288.0,,9,9.0,1,0.05,0.2312435765673176,0.011125487255136264,0.0,0.0,9.0,9.0,0.0026807175240162553,0.0033879339323739668,0.0,0,8,1,1,0.1111111111111111,203.0,206.0,202.0,176.0,199.0,197.0,202.0,192.0,1,0.44,9.0,9,4.0,6.111111111111111,41,18.22,8.414634146341463
org,Corporation,non-financial,pharmaceutical,"71,789",24.0,,9,9.0,2,0.1,0.22959183673469388,0.009050623152164441,0.00027897043780502424,0.0007142857142857143,2.5,2.5,0.004063347599637125,0.0007955023950213168,0.0,0,8,3,2,0.2222222222222222,178.0,183.0,204.0,220.0,197.0,182.0,188.0,215.0,2,0.89,2.5,5,2.22,10.0,41,18.22,8.878048780487806
org,Corporation,non-financial,industrial,"14,642",159.0,,15,15.0,8,0.33216542522389597,0.32514450867052025,0.013866491366825188,0.022056577458239898,0.020793650793650795,9.404790397425405,10.875,0.07543449790515923,0.0421251798006099,0.21428571428571427,6,7,15,5,0.5333333333333333,50.0,60.0,46.0,64.0,36.0,42.0,37.0,59.0,8,3.56,10.875,62,27.56,8.580645161290322,155,68.89,7.038709677419355
org,Corporation,financial,insurance,"7,595",298.0,,17,17.0,10,0.3959840542599163,0.33136966126656847,0.01399036219493238,0.019640414352248562,0.01494047619047619,9.404632543487347,9.3,0.06562190027547204,0.05159960650114104,0.2222222222222222,10,6,17,5,0.5882352941176471,26.0,43.0,34.0,61.0,49.0,68.0,45.0,46.0,10,4.44,9.3,63,28.0,8.492063492063492,163,72.44,6.828220858895706
org,Corporation,non-financial,technology,"36,537",56.0,,9,9.0,6,0.2838750862663906,0.2964426877470356,0.012879467267072451,0.006575639485458861,0.009404761904761905,8.252458458434125,8.666666666666666,0.04302039216919657,0.021058770398028098,0.2,3,7,14,5,0.6666666666666666,78.0,81.0,102.0,116.0,122.0,98.0,76.0,112.0,6,2.67,8.666666666666666,38,16.89,9.0,125,55.56,7.464
org,Corporation,non-financial,services,"12,298",189.0,,3,3.0,3,0.21726190476190474,0.26254375729288215,0.012836848411083429,0.00037573438984503415,0.002916666666666667,5.821917808219179,6.0,0.011988973957779552,0.010753642260172872,0.3333333333333333,1,7,7,3,1.0,139.0,111.0,158.0,119.0,193.0,157.0,149.0,142.0,3,1.33,6.0,16,7.11,9.1875,83,36.89,8.289156626506024
org,Corporation,non-financial,food/agriculture,"69,207",27.0,,10,10.0,6,0.28012946805516464,0.30405405405405406,0.01518748101564873,0.01464472041310763,0.02351190476190476,8.679292675575203,8.166666666666666,0.03864372608263364,0.07060464724971546,0.13333333333333333,2,6,12,4,0.6,78.0,83.0,85.0,21.0,70.0,32.0,84.0,30.0,6,2.67,8.166666666666666,39,17.33,8.794871794871796,135,60.0,7.281481481481482
org,Corporation,non-financial,industrial,"14,684",157.0,,12,12.0,2,0.09,0.24089935760171305,0.010175853829512992,0.0011773920847800406,0.005119047619047619,5.111111111111111,5.5,0.005709179510926657,0.002664771463521882,0.0,0,8,3,2,0.16666666666666666,178.0,190.0,187.0,200.0,177.0,131.0,178.0,198.0,2,0.89,5.5,11,4.89,7.0,53,23.56,8.88679245283019
org,Corporation,financial,insurance,"8,701",268.0,,12,12.0,1,0.03571428571428571,0.23634453781512604,0.009488733008139223,0.0,0.0,8.0,8.0,0.0029298549486137743,0.0018095157607581108,0.0,0,7,1,1,0.08333333333333333,203.0,224.0,195.0,211.0,199.0,197.0,201.0,203.0,1,0.44,8.0,8,3.56,8.375,46,20.44,7.391304347826087
org,Corporation,non-financial,retail,"11,016",212.0,,12,12.0,3,0.14665286404416839,0.2516778523489933,0.012235686512648072,0.0015113603610691475,0.000992063492063492,5.698823529411764,6.0,0.00605289339571108,0.00895759187004703,0.3333333333333333,1,8,4,2,0.25,139.0,152.0,172.0,133.0,171.0,176.0,177.0,152.0,3,1.33,6.0,16,7.11,6.75,70,31.11,7.714285714285714
org,Corporation,non-financial,industrial,"16,230",142.0,,9,9.0,2,0.10263157894736842,0.26223776223776224,0.01181919261781984,0.0002750692869740488,0.0007936507936507937,7.384615384615386,7.5,0.010685232653714204,0.009876015417852732,0.0,0,8,3,2,0.2222222222222222,178.0,179.0,159.0,151.0,198.0,180.0,154.0,145.0,2,0.89,7.5,15,6.67,9.733333333333333,83,36.89,8.433734939759036
org,Corporation,non-financial,consumer products,"10,383",228.0,,10,10.0,7,0.324969474969475,0.3120665742024965,0.013838631308109438,0.009025981776430573,0.016567460317460318,8.570824722900621,8.857142857142858,0.04663327005443714,0.0240021907403972,0.14285714285714285,3,6,15,5,0.7,65.0,64.0,72.0,68.0,99.0,59.0,70.0,100.0,7,3.11,8.857142857142858,47,20.89,8.76595744680851,143,63.56,7.258741258741258
org,Corporation,non-financial,retail,"10,187",232.0,,9,9.0,1,0.047619047619047616,0.22773279352226722,0.010104563520280234,0.0,0.0,7.0,7.0,0.003586004789082394,0.0033094179436490485,0.0,0,7,1,1,0.1111111111111111,203.0,210.0,205.0,203.0,199.0,197.0,195.0,194.0,1,0.44,7.0,7,3.11,6.714285714285714,34,15.11,9.647058823529411
org,Corporation,financial,bank,"150,450",5.0,,14,14.0,9,0.3453517044896355,0.3177966101694915,0.014095094906972373,0.016024857025369005,0.015251322751322753,7.664417473725832,7.555555555555555,0.05158488354498458,0.031498468339901387,0.16666666666666666,6,7,14,5,0.6428571428571429,37.0,55.0,61.0,56.0,63.0,66.0,63.0,80.0,9,4.0,7.555555555555555,50,22.22,8.26,156,69.33,6.737179487179487
org,Corporation,financial,bank,"8,345",274.0,,15,15.0,9,0.3703797576378221,0.2992021276595745,0.013221618815832645,0.027319901048185522,0.02726851851851852,5.018432712534937,5.111111111111111,0.024439148320076133,0.022863562880676314,0.027777777777777776,1,7,11,4,0.6,37.0,47.0,95.0,95.0,21.0,26.0,118.0,107.0,9,4.0,5.111111111111111,39,17.33,7.564102564102564,132,58.67,7.174242424242424
org,Corporation,non-financial,healthcare,"12,562",185.0,,13,13.0,2,0.07703703703703704,0.2757352941176471,0.011903817157368463,0.0006680310152114663,0.0003373015873015873,10.288461538461537,10.5,0.016467513882016054,0.014748447501016412,0.0,0,7,3,2,0.15384615384615385,178.0,196.0,137.0,146.0,183.0,193.0,136.0,128.0,2,0.89,10.5,20,8.89,9.05,99,44.0,8.383838383838384
org,Corporation,non-financial,holding,"112,493",11.0,,12,12.0,9,0.4809392057218144,0.30040053404539385,0.01429130982501085,0.03756533624403209,0.0475462962962963,5.320315588029257,5.222222222222222,0.027541789266419255,0.0312943935565049,0.05555555555555555,2,7,9,3,0.75,37.0,20.0,93.0,44.0,11.0,10.0,111.0,83.0,9,4.0,5.222222222222222,41,18.22,8.21951219512195,133,59.11,7.2556390977443606
org,Corporation,non-financial,retail,"45,015",45.0,,12,12.0,1,0.043478260869565216,0.24141630901287553,0.01067463706233988,0.0,0.0,8.0,8.0,0.003948677703250135,0.003077872474764065,0.0,0,8,1,1,0.08333333333333333,203.0,218.0,186.0,190.0,199.0,197.0,189.0,195.0,1,0.44,8.0,8,3.56,9.375,53,23.56,7.811320754716981
org,Corporation,non-financial,industrial,"68,281",28.0,,13,13.0,14,0.5814850498884712,0.3652597402597403,0.016071619900236908,0.020942899184523505,0.028416005291005287,12.101440913913999,13.142857142857142,0.21534369679902948,0.1969790624762503,0.26373626373626374,24,6,18,5,1.0769230769230769,8.0,10.0,7.0,12.0,39.0,24.0,5.0,5.0,14,6.22,13.142857142857142,91,40.44,8.307692307692308,185,82.22,6.4324324324324325
org,Policy-Planning Group,,,,,,49,,29,0.5141743365101841,0.39752650176678445,0.012308590028218583,0.11173769015427142,0.0002380952380952381,9.704642242939832,9.241379310344827,0.31237856812179243,0.08733056621843302,0.10591133004926108,43,6,19,6,0.5918367346938775,1.0,15.0,2.0,131.0,1.0,194.0,1.0,24.0,29,12.89,9.241379310344827,117,52.0,7.64957264957265,195,86.67,6.148717948717949
org,Corporation,non-financial,transportation,"14,016",167.0,acquired by Berkshire Hathaway in 2009,11,11.0,10,0.460691996790395,0.3265602322206096,0.015048825076916218,0.029652040596265763,0.036729497354497355,7.496372201337583,7.6,0.04725459836651559,0.04592172854592813,0.06666666666666667,3,7,14,5,0.9090909090909091,26.0,25.0,44.0,24.0,17.0,17.0,69.0,53.0,10,4.44,7.6,62,27.56,7.903225806451613,159,70.67,6.89937106918239
org,Policy-Planning Group,,,,,,18,,24,1.1470653966072897,0.39893617021276595,0.018099547511312222,0.09199372269059292,0.10377645502645501,11.28993971168983,10.541666666666666,0.2673785582386988,0.426539136970223,0.12318840579710146,34,6,18,5,1.3333333333333333,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,24,10.67,10.541666666666666,120,53.33,7.575,199,88.44,6.0954773869346734
